day,category,product,day_pnl,n_buy,n_sell,qty_buy,qty_sell,net_qty,avg_buy_px,avg_sell_px,avg_mid,buy_vs_mid,sell_vs_mid,drift,buy_adv,sell_adv,final_pos
2,SLEEP_POD,SLEEP_POD_LAMB_WOOL,-4072.00,65,59,149,151,-2,+10847.22,+10814.39,+10768.75,+78.48,+45.64,+404.50,1,0,-2
3,SLEEP_POD,SLEEP_POD_LAMB_WOOL,-544.00,69,76,177,177,0,+10493.58,+10490.51,+10476.44,+17.14,+14.07,+395.50,1,0,0
4,SLEEP_POD,SLEEP_POD_LAMB_WOOL,-1869.00,58,60,142,142,0,+10801.15,+10787.99,+10859.14,-57.98,-71.14,+16.00,0,1,0
2,ROBOT,ROBOT_DISHES,-510.00,65,59,149,151,-2,+9483.21,+9485.63,+9472.68,+10.52,+12.95,-79.00,1,0,-2
3,ROBOT,ROBOT_DISHES,-1142.00,69,76,177,177,0,+9951.95,+9945.50,+9944.13,+7.83,+1.37,+218.50,1,0,0
4,ROBOT,ROBOT_DISHES,-3709.00,58,60,142,142,0,+10636.39,+10610.27,+10638.13,-1.74,-27.86,+1077.00,0,1,0
3,PEBBLES,PEBBLES_M,-269.00,87,75,272,273,-1,+10138.78,+10141.16,+10170.49,-31.72,-29.33,+2039.00,0,1,-1
4,PEBBLES,PEBBLES_M,-3273.00,83,62,236,232,4,+10856.14,+10844.69,+10871.79,-15.65,-27.10,-364.00,0,1,4
2,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,-1522.00,65,59,149,151,-2,+10101.71,+10095.81,+10111.91,-10.20,-16.11,+417.00,0,1,-2
3,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,-1672.00,69,76,177,177,0,+10431.57,+10422.12,+10421.95,+9.62,+0.17,+462.50,1,0,0
4,ROBOT,ROBOT_IRONING,-1194.00,58,60,142,142,0,+7887.04,+7878.63,+7857.85,+29.18,+20.78,+330.00,1,0,0
2,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,-3994.00,65,59,149,151,-2,+9879.50,+9856.05,+9893.52,-14.02,-37.47,+106.50,0,1,-2
4,PANEL,PANEL_1X2,-158.00,58,60,142,142,0,+9193.92,+9192.80,+9255.66,-61.74,-62.86,+846.50,0,1,0
2,PEBBLES,PEBBLES_XS,-356.00,72,64,221,219,2,+9235.24,+9244.45,+9189.41,+45.83,+55.05,-1951.50,1,0,2
3,PEBBLES,PEBBLES_XS,-239.50,87,75,272,273,-1,+6970.99,+6969.70,+6968.41,+2.58,+1.29,-1203.50,1,0,-1
3,UV_VISOR,UV_VISOR_MAGENTA,-576.00,69,76,177,177,0,+11371.03,+11367.77,+11358.41,+12.62,+9.37,+254.00,1,0,0
4,UV_VISOR,UV_VISOR_MAGENTA,-498.00,58,60,142,142,0,+11577.39,+11573.89,+11578.07,-0.67,-4.18,-49.00,0,1,0
2,SLEEP_POD,SLEEP_POD_NYLON,-467.00,65,59,149,151,-2,+9544.87,+9532.93,+9511.19,+33.68,+21.75,-1123.00,1,0,-2
2,UV_VISOR,UV_VISOR_RED,-862.00,65,59,149,151,-2,+10807.56,+10802.30,+10777.56,+30.00,+24.75,+842.00,1,0,-2
3,UV_VISOR,UV_VISOR_RED,-496.00,69,76,177,177,0,+10612.03,+10609.23,+10624.19,-12.15,-14.96,+182.00,0,1,0
3,MICROCHIP,MICROCHIP_TRIANGLE,-2932.00,55,49,102,102,0,+10196.80,+10168.06,+10229.08,-32.28,-61.03,-1705.50,0,1,0
4,MICROCHIP,MICROCHIP_RECTANGLE,-966.00,53,55,106,108,-2,+8288.52,+8288.53,+8307.09,-18.57,-18.56,+941.50,0,1,-2
2,MICROCHIP,MICROCHIP_OVAL,-375.00,47,46,92,93,-1,+9764.10,+9754.60,+9766.38,-2.28,-11.78,-744.00,0,1,-1
3,MICROCHIP,MICROCHIP_CIRCLE,-613.00,55,49,102,102,0,+8857.90,+8851.89,+8897.68,-39.78,-45.79,-346.50,0,1,0
4,PEBBLES,PEBBLES_L,-2015.00,83,62,236,232,4,+10483.82,+10498.54,+10458.07,+25.75,+40.48,-1888.50,1,0,4
2,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,-1345.00,65,59,149,151,-2,+11071.14,+11065.87,+11095.64,-24.50,-29.78,+1345.50,0,1,-2
3,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,-1554.00,69,76,177,177,0,+10001.69,+9992.92,+10011.41,-9.71,-18.49,-632.00,0,1,0
3,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,-957.00,69,76,177,177,0,+11625.75,+11620.34,+11615.27,+10.47,+5.07,+158.00,1,0,0
4,GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,-402.00,58,60,142,142,0,+10654.51,+10651.68,+10671.49,-16.98,-19.81,-1767.00,0,1,0
2,PANEL,PANEL_4X4,-770.00,65,59,149,151,-2,+10034.23,+10024.42,+10040.12,-5.89,-15.70,-321.50,0,1,-2
2,ROBOT,ROBOT_MOPPING,-140.00,65,59,149,151,-2,+10516.50,+10506.35,+10539.31,-22.82,-32.96,-179.50,0,1,-2
4,TRANSLATOR,TRANSLATOR_SPACE_GRAY,-868.00,58,60,142,142,0,+9066.45,+9060.34,+8976.43,+90.02,+83.91,-1689.50,1,0,0
4,MICROCHIP,MICROCHIP_SQUARE,-1000.00,53,55,106,108,-2,+15025.25,+14990.20,+14931.54,+93.70,+58.66,-2278.00,1,0,-2
4,TRANSLATOR,TRANSLATOR_VOID_BLUE,-323.00,58,60,142,142,0,+11160.30,+11158.03,+11238.32,-78.02,-80.30,+871.00,0,1,0
2,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,-135.00,65,59,149,151,-2,+9770.26,+9763.64,+9788.15,-17.89,-24.51,-662.50,0,1,-2
3,PEBBLES,PEBBLES_S,-421.00,87,75,272,273,-1,+9188.14,+9185.84,+9197.52,-9.38,-11.68,-177.00,0,1,-1
2,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,-1338.00,65,59,149,151,-2,+10667.65,+10669.11,+10680.49,-12.84,-11.39,+1446.50,0,1,-2
