category,product,d2_pnl,d3_pnl,d4_pnl,total,neg_days
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,-1522,-1672,+1008,-2186,2
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,-1338,+5853,+7257,+11772,1
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,+5666,-957,-402,+4307,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,+1140,+4155,+8429,+13724,0
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,-1345,+2688,+1957,+3300,1
SLEEP_POD,SLEEP_POD_SUEDE,+3911,+170,+576,+4657,0
SLEEP_POD,SLEEP_POD_LAMB_WOOL,-4072,-544,-1869,-6485,3
SLEEP_POD,SLEEP_POD_POLYESTER,+2135,+4726,+2061,+8922,0
SLEEP_POD,SLEEP_POD_NYLON,-467,+282,+2334,+2149,1
SLEEP_POD,SLEEP_POD_COTTON,+2520,+2594,+1061,+6175,0
MICROCHIP,MICROCHIP_CIRCLE,+841,-613,+2581,+2809,1
MICROCHIP,MICROCHIP_OVAL,-375,+523,+2388,+2536,1
MICROCHIP,MICROCHIP_SQUARE,+1558,+4696,-1000,+5254,1
MICROCHIP,MICROCHIP_RECTANGLE,+1746,+1716,-966,+2496,1
MICROCHIP,MICROCHIP_TRIANGLE,+772,-2932,+4475,+2315,1
PEBBLES,PEBBLES_XS,-356,-240,+2127,+1532,2
PEBBLES,PEBBLES_S,+5297,-421,+5322,+10198,1
PEBBLES,PEBBLES_M,+1044,-269,-3273,-2498,2
PEBBLES,PEBBLES_L,+32,+4837,-2015,+2854,1
PEBBLES,PEBBLES_XL,+3753,+16138,+17615,+37506,0
ROBOT,ROBOT_VACUUMING,+1402,+2550,+1102,+5054,0
ROBOT,ROBOT_MOPPING,-140,+1671,+2964,+4495,1
ROBOT,ROBOT_DISHES,-510,-1142,-3709,-5361,3
ROBOT,ROBOT_LAUNDRY,+1185,+4687,+2088,+7960,0
ROBOT,ROBOT_IRONING,+1349,+478,-1194,+633,1
UV_VISOR,UV_VISOR_YELLOW,+4516,+2952,+1521,+8989,0
UV_VISOR,UV_VISOR_AMBER,+3612,+667,+1191,+5470,0
UV_VISOR,UV_VISOR_ORANGE,+5264,+2920,+2327,+10511,0
UV_VISOR,UV_VISOR_RED,-862,-496,+3617,+2259,2
UV_VISOR,UV_VISOR_MAGENTA,+2620,-576,-498,+1546,2
TRANSLATOR,TRANSLATOR_SPACE_GRAY,+3172,+2407,-868,+4711,1
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,+2053,+1112,+1577,+4742,0
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,+4097,-1554,+1326,+3869,1
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,-135,+2170,+3851,+5886,1
TRANSLATOR,TRANSLATOR_VOID_BLUE,+1820,+4374,-323,+5871,1
PANEL,PANEL_1X2,+798,+322,-158,+962,1
PANEL,PANEL_2X2,+556,+201,+1865,+2622,0
PANEL,PANEL_1X4,+1483,+1291,+1518,+4292,0
PANEL,PANEL_2X4,+4339,+1340,+378,+6057,0
PANEL,PANEL_4X4,-770,+2236,+2963,+4429,1
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,+729,+538,+3219,+4486,0
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,+1504,+2524,+3286,+7314,0
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,-3994,+1261,+3381,+648,1
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,+472,+2072,+2906,+5450,0
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,+3215,+4162,+411,+7788,0
SNACKPACK,SNACKPACK_CHOCOLATE,+13154,+7527,+7320,+28000,0
SNACKPACK,SNACKPACK_VANILLA,+10902,+8077,+7589,+26568,0
SNACKPACK,SNACKPACK_PISTACHIO,+3892,+5077,+1962,+10931,0
SNACKPACK,SNACKPACK_STRAWBERRY,+17659,+6892,+2915,+27466,0
SNACKPACK,SNACKPACK_RASPBERRY,+13826,+9892,+10089,+33807,0
